date,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promotion_event,Avg_Temperature_C,iso_week,is_peak_season
2024-01-01,2024,1,Q1,1,Monday,0,Winter,,0,,14.8,1,0
2024-01-02,2024,1,Q1,1,Tuesday,0,Winter,,0,,12.4,1,0
2024-01-03,2024,1,Q1,1,Wednesday,0,Winter,,0,,15.7,1,0
2024-01-04,2024,1,Q1,1,Thursday,0,Winter,,0,,16.0,1,0
2024-01-05,2024,1,Q1,1,Friday,0,Winter,,0,,10.9,1,0
2024-01-06,2024,1,Q1,1,Saturday,1,Winter,,0,,12.1,1,0
2024-01-07,2024,1,Q1,1,Sunday,1,Winter,,0,,14.7,1,0
2024-01-08,2024,1,Q1,2,Monday,0,Winter,,0,,14.0,2,0
2024-01-09,2024,1,Q1,2,Tuesday,0,Winter,,0,,14.6,2,0
2024-01-10,2024,1,Q1,2,Wednesday,0,Winter,,0,,13.1,2,0
2024-01-11,2024,1,Q1,2,Thursday,0,Winter,,0,,16.3,2,0
2024-01-12,2024,1,Q1,2,Friday,0,Winter,,0,,16.2,2,0
2024-01-13,2024,1,Q1,2,Saturday,1,Winter,,0,,15.0,2,0
2024-01-14,2024,1,Q1,2,Sunday,1,Winter,,0,,17.0,2,0
2024-01-15,2024,1,Q1,3,Monday,0,Winter,,0,,15.8,3,0
2024-01-16,2024,1,Q1,3,Tuesday,0,Winter,,0,,13.5,3,0
2024-01-17,2024,1,Q1,3,Wednesday,0,Winter,,0,,15.8,3,0
2024-01-18,2024,1,Q1,3,Thursday,0,Winter,,0,,13.5,3,0
2024-01-19,2024,1,Q1,3,Friday,0,Winter,,0,,16.9,3,0
2024-01-20,2024,1,Q1,3,Saturday,1,Winter,,0,,15.3,3,0
2024-01-21,2024,1,Q1,3,Sunday,1,Winter,,0,,15.2,3,0
2024-01-22,2024,1,Q1,4,Monday,0,Winter,,0,,14.4,4,0
2024-01-23,2024,1,Q1,4,Tuesday,0,Winter,,0,,17.9,4,0
2024-01-24,2024,1,Q1,4,Wednesday,0,Winter,,0,,15.5,4,0
2024-01-25,2024,1,Q1,4,Thursday,0,Winter,,0,,15.1,4,0
2024-01-26,2024,1,Q1,4,Friday,0,Winter,Republic Day,1,,15.4,4,0
2024-01-27,2024,1,Q1,4,Saturday,1,Winter,,0,,17.0,4,0
2024-01-28,2024,1,Q1,4,Sunday,1,Winter,,0,,16.9,4,0
2024-01-29,2024,1,Q1,5,Monday,0,Winter,,0,,17.0,5,0
2024-01-30,2024,1,Q1,5,Tuesday,0,Winter,,0,,17.2,5,0
